Test Code,Animals (brackets in different format),,,Test Description,,Test Type,Turn around time,PVS Price (£),PVS Price 5+ (£),PVS Price 10+ (£),PVS Price Other (£),Medium Description,Farmfile SMS Description,Species List,Price List Categories List,In Surveillance (PVS) List,In Intravet,Is Active,Is Package,Package Notes,Constituent Tests List,UKAS Accred,UKAS Accred Notes,Diseases List,Submission Instructions,Sample Type,Sample Quantity,Datasheet List
PC0075,,,,"Enteric package adult sheep and goats: Johne's smear, fluke eggs, worm egg count, salmonella culture (40g faeces)",Package,Package,10,57.20,57.20,57.20,,Enteric pack adult sheep+goats,Enteric package adult sheep and goats,,Sheep / Goat Packages,TRUE,TRUE,TRUE,TRUE,,"TC0776 : Detection of acid alcohol fast bacilli, TC0061 : Fluke egg examination (minimum 40g faeces), TC0025 : Salmonella culture - ID to group level, TC0060 : Worm egg and/or Coccidial oocyst count",Yes,,,,Faeces,10g,
PC0126,,,,"Milk - bulk milk antibody test package: BVD, IBR and L.hardjo",Package,ELISA,7,20.30,20.30,20.30,,"BVD,IBR,Lhardjo Ab bulkmilkPkg","BVD, IBR and L.hardjo bulk milk antibody test package",,"Cattle Packages, Milk Antibody Tests",TRUE,TRUE,TRUE,TRUE,,"TC0123 : Bovine viral diarrhoea antibodies in bulk milk, TC0124 : Infectious bovine rhinotracheitis (BoHV-1) antibodies in bulk milk, TC0125 : Leptospira hardjo antibodies in bulk milk",Yes,,,,Milk,,
PC0384,,,,"Bovine respiratory disease package A - viral serology: IBR, RSV, PI3 & BVD",Package,Package,10,31.70,31.70,31.70,,Bov Resp Dis Serol Pkg A,Bov.Resp.Dis Serol. Package A,,Cattle Packages,TRUE,TRUE,TRUE,TRUE,,"TC0390 : Bovine viral diarrhoea antibody ELISA, TC0367 : Infectious bovine rhinotracheitis - for use when a quantitative result is required eg diagnosis, TC0376 : Parainfluenza 3, TC0379 : Respiratory syncitial virus",Yes,,,,Serum,,
PC0385,,,,"Bovine respiratory disease package B - full serology: IBR, RSV, PI3, BVD, Mycoplasma bovis & Histophilus somni (H. somnus)",Package,Package,10,73.70,73.70,73.70,,Bov Resp Dis Serol Pkg B,Bov.Resp.Dis Serol. Package B,,Cattle Packages,TRUE,TRUE,TRUE,TRUE,,"TC0390 : Bovine viral diarrhoea antibody ELISA, TC0364 : Histophilus somni (H. somnus), TC0367 : Infectious bovine rhinotracheitis - for use when a quantitative result is required eg diagnosis, TC0400 : Mycoplasma bovis, TC0376 : Parainfluenza 3, TC0379 : Respiratory syncitial virus",Yes,,,,Serum,,
PC0386,,,,Porcine respiratory disease serology package A - viral serology: Swine influenza (3 strains) & PRRS,Package,Package,10,38.80,38.80,38.80,,Porcine Resp Dis Serol Pkg A,Porcine Resp.Disease Serology A,,Pig Packages,TRUE,TRUE,TRUE,TRUE,,"TC0412 : Porcine Reproductive & Respiratory Syndrome, TC0160 : Swine influenza - 4 strains: avian-like H1N1[195852], H1N2, H3N2, pandemic H1N1",Yes,,,,Serum,6ml clotted blood or 3ml serum,
PC0387,,,,"Bovine abortion/stillbirth serology package A: Leptospira hardjo, Neospora",Package,Package,10,16.50,16.50,16.50,,Bovine Abortion / Stillbirth A,Bovine Abortion / Stillbirth A,,Cattle Packages,TRUE,TRUE,TRUE,TRUE,,"TC0456 : Leptospira hardjo bovis, TC0175 : Neospora caninum antibodies in bovine sera",No,Neospora non accredited,,,Serum,,
PC0388,,,,Ovine abortion/stillbirth serology package: Enzootic abortion (EAE) & toxoplasma,Package,Package,10,21.50,21.50,21.50,,Ovine Abortion/ Stillbirth,Ovine Abortion / Stillbirth,,Sheep / Goat Packages,TRUE,TRUE,TRUE,TRUE,,"TC0801 : Chlamydia abortus, TC0383 : Toxoplasma antibody",Yes,,,,Serum,,
PC0389,,,,"Porcine abortion/stillbirth serology package A: PRRS, Leptospira bratislava & Swine influenza (3 strains)",Package,Package,10,52.00,52.00,52.00,,Porcine Abortion/Stillbirth A,Porcine Abortion / Stillbirth A,,Pig Packages,TRUE,TRUE,TRUE,TRUE,,"TC0451 : Leptospira bratislava, TC0412 : Porcine Reproductive & Respiratory Syndrome, TC0160 : Swine influenza - 4 strains: avian-like H1N1[195852], H1N2, H3N2, pandemic H1N1",Yes,,,,Serum,6ml clotted blood or 3ml serum,
PC0405,,,,"Bovine abortion/stillbirth serology package B: Leptospira hardjo, BVD, IBR & Neospora",Package,Package,10,28.30,28.30,28.30,,Bovine Abortion / Stillbirth B,Bovine Abortion / Stillbirth B,,Cattle Packages,TRUE,TRUE,TRUE,TRUE,,"TC0390 : Bovine viral diarrhoea antibody ELISA, TC0367 : Infectious bovine rhinotracheitis - for use when a quantitative result is required eg diagnosis, TC0456 : Leptospira hardjo bovis, TC0175 : Neospora caninum antibodies in bovine sera",No,Neospora non accredited,,,Serum,,
PC0509,,,,Porcine abortion/stillbirth serology package B: As A plus Erysipelas and Porcine parvovirus,Package,Package,10,77.50,77.50,77.50,,Porcine Abortion/Stillbirth B,Porcine Abortion / Stillbirth B,,Pig Packages,TRUE,TRUE,TRUE,TRUE,Include ID as appropriate,"TC0361 : Erysipelothrix (Erysipelas), TC0451 : Leptospira bratislava, TC0669 : Porcine parvovirus, TC0412 : Porcine Reproductive & Respiratory Syndrome, TC0160 : Swine influenza - 4 strains: avian-like H1N1[195852], H1N2, H3N2, pandemic H1N1",Yes,,,,Serum,6ml clotted blood or 3ml serum,
PC0636,,,,"Milk - individual milk antibody test package: BVD, IBR and L.hardjo",Package,ELISA,7,17.90,17.90,17.90,,"BVD,IBR,Lhardjo AbsinglemilkPk","BVD, IBR and L.hardjo individual milk antibody test package",,"Cattle Packages, Milk Antibody Tests",TRUE,TRUE,TRUE,TRUE,,"TC0633 : Bovine viral diarrhoea antibodies in individual milk, TC0634 : Infectious bovine rhinotracheitis (BoHV-1) antibodies in individual milk, TC0635 : Leptospira hardjo antibodies in individual milk",Yes,,,,Milk,Minimum 30ml,
PC0864,,,,"Parasite disease: Worm egg count & examination for fluke eggs, coccidial oocyst count (40g faeces) - for camelids only",Package,Package,5,27.60,27.60,27.60,,Parasite disease pkg - camelid,Parasite disease package for camelids only,,"Other Species Virology, Bacteriology & Parasitology, Parasitology",TRUE,TRUE,TRUE,TRUE,,"TC0061 : Fluke egg examination (minimum 40g faeces), TC0860 : Worm egg and/or Coccidial oocyst count – for camelids only",No,,,,Faeces,40g,
PC0932,,,,"Flock screen: M. gallisepticum, M. synoviae (Minimum of 10 birds)",Package,RSA Package,5,16.00,16.00,16.00,,Flock screen serology,"Flock screen: M. gallisepticum, M. synoviae",,Avian Serology,TRUE,TRUE,TRUE,TRUE,,"TC0306 : Mycoplasma gallisepticum, TC0308 : Mycoplasma synoviae",Yes,,,,Serum,,
