Test Code,Animals (brackets in different format),,,Test Description,,Test Type,Turn around time,PVS Price (£),PVS Price 5+ (£),PVS Price 10+ (£),PVS Price Other (£),Medium Description,Farmfile SMS Description,Species List,Price List Categories List,In Surveillance (PVS) List,In Intravet,Is Active,Is Package,Package Notes,Constituent Tests List,UKAS Accred,UKAS Accred Notes,Diseases List,Submission Instructions,Sample Type,Sample Quantity,Datasheet List
TC0028,,,,Taylorella equigenitalis (CEMO) for International Trade,,Culture,7,33.20,33.20,33.20,,CEMO culture & identification,CEMO culture & identification,Horse,"Microbiology, Other Equine Tests",TRUE,TRUE,TRUE,FALSE,,,Yes,"BA.008, BA.140",Taylorella equigenitalis (CEMO) & T.asinigenitalis,Swabs must reach lab within 48 hours of sampling. Use dedicated submission form.,Genital swabs in charcoal transport medium,Specified by CEM sampling protocol,TC0028
TC0032,,,,"Fluorescent antibody test - Strep suis, C. novyi - type B, C. chauvoei or C. septicum",,FAT,3,34.90,34.90,34.90,,S.suis or Clostri FAT,"FAT for Strep. suis, C. novyi - type B, C. chauvoei or C. septicum","Cattle, Goat, Pig, Sheep",Microbiology,TRUE,TRUE,TRUE,FALSE,,,Yes,"BA.017 (PE, STAR), BA.039 (ST).",,Refer to notes.,See notes,See notes,
TC0033,,,,Smear - staining & microscopic examination,,Microscopy,3,15.70,15.70,11.30,,Smear stain & microscopic exam,Microscopic exam and staining of a Smear,All,"Microbiology, Parasitology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.001 (Lawsonia performed at Starcross only). BA.034 Penrith & Starcross only.,"Chlamydophila abortus (EAE), Coxiella burnetii (Q fever)",,"Smear, slide, swab, tissue, faeces",1,
TC0035,,,,Clostridium perfringens toxin test,,ELISA,7,32.70,32.70,32.70,,Clostridia Toxin Test - ELISA,Toxin Test for Clostridium perfringens - ELISA,All,Microbiology,TRUE,TRUE,TRUE,FALSE,,,No,,Clostridium perfringens,,Gut contents or culture,1ml of direct content or 0.5ml of spun content.,TC0035
TC0040,,,,E. coli serotyping,,OK serotyping screen,5,64.20,64.20,64.20,,E coli serotyping,E. coli sero typing,All,Microbiology,TRUE,TRUE,TRUE,FALSE,,,Yes,BA.018,E. coli,,Culture,"Culture on slope, agar plate or transport swab",
TC0041,,,,Avian Influenza - NAD Exclusion screening test for matrix gene of influenza A viruses on pooled swabs during normal working hours (for out-of-hours testing use TC0042),,RT PCR (real time),2,38.50,38.50,38.50,,Av'flu Avirus NAD Ex Scrn NWH,Avian Influenza - NAD Exclusion screening test for influenza A viruses on pooled swab during std hrs,"Chicken, Turkey",Avian Virology,TRUE,TRUE,TRUE,FALSE,,,No,,Avian influenza,,Oropharyngeal and cloacal swabs,,
TC0042,,,,Avian influenza - out-of-hours NAD Exclusion screening test for matrix gene of influenza A viruses on pooled swabs (for normal working hours testing use TC0041),,RT PCR (real time),2,73.20,73.20,73.20,,Av'flu A virus NAD Ex Scrn OOH,Avian influenza - NAD Exclusion screening test for influenza A viruses on pooled swab out-of-hours.,"Chicken, Turkey",Avian Virology,TRUE,TRUE,TRUE,FALSE,,,No,,Avian influenza,,Oropharyngeal and cloacal swabs,,
TC0043,,,,Avian paramyxovirus-1 (APMV-1) - NAD Exclusion screening test for L gene of APMV-1 on pooled swabs during normal working hours (for out-of-hours testing use TC0044),,RT PCR (real time),2,38.50,38.50,38.50,,Av P'myxvirus NAD Ex Scrn NWH,Avian Paramyxovirus - NAD Exclusion screening test for APMV on pooled swab during std hrs,"Chicken, Turkey",Avian Virology,TRUE,TRUE,TRUE,FALSE,,,No,,Avian paramyxovirus-1,,Oropharyngeal and cloacal swabs,,
TC0044,,,,Avian paramyxovirus-1 (APMV-1) - Out-of-hours NAD Exclusion screening test for L gene of APMV-1 on pooled swabs (for normal working hours testing use TC0043),,RT PCR (real time),2,73.20,73.20,73.20,,Av P'myxvirus NAD Ex Scrn OOH,Avian Paramyxovirus - NAD Exclusion screening test for APMV on pooled swab out-of-hours.,"Chicken, Turkey",Avian Virology,TRUE,TRUE,TRUE,FALSE,,,No,,Avian paramyxovirus-1,,Oropharyngeal and cloacal swabs,,
TC0045,,,,Detection of ruminant DNA in feed using Real-Time PCR from European Union Reference Laboratory for Animal Proteins (EURL-AP),,PCR (real time),10,113.20,113.20,113.20,,RuminantDNA animal feed PCR,Detection of ruminant DNA in feed using Real-Time PCR from EURL-AP,All,Feed & Meat Tests,TRUE,TRUE,TRUE,FALSE,,,Yes,Accredited from Oct 2016,,,Animal feed,5g,TC0045
TC0046,,,,Equine Viral Arteritis RT PCR in semen,,PCR (real time),7,,,,,EVA RT PCR (semen),Equine Viral Arteritis RT PCR (real time) in semen,Horse,"Equine Serology, Equine Virology",TRUE,TRUE,TRUE,FALSE,,,Yes,VI.667,Equine viral arteritis (EVA),General submission form,Semen,5mL,
TC0047,,,,Anaplasma phagocytophilum PCR,,PCR (real time),10,38.40,38.40,38.40,,Tick Born Fever PCR,Anaplasma phagocytophilum PCR on EDTA blood and tissues,"Cattle, Dog, Goat, Sheep","Cattle Serology, Other Species Serology",TRUE,TRUE,TRUE,FALSE,,,No,,Tick Borne Fever,,"EDTA Blood, or tissues",5ml,
TC0060,,,,Worm egg and/or Coccidial oocyst count,,McMaster method,3,16.70,14.10,14.10,,Worm Egg/ Cocc Oocyst Count,Worm egg and/or Cocc. Oocyst Count,All,Parasitology,TRUE,TRUE,TRUE,FALSE,,,Yes,PA.011,Parasitology,,Faeces,Minimum 3g,
TC0061,,,,Fluke egg examination (minimum 40g faeces),,Sedimentation method,5,23.90,23.90,23.90,,Fluke egg examination,Fluke egg examination,"Cattle, Goat, Other, Sheep",Parasitology,TRUE,TRUE,TRUE,FALSE,,,Yes,PA.026,Fasciola hepatica,,Faeces,Minimum 40g. Lower sample weights reduce the chances of detecting animals shedding low numbers of eggs.,
TC0062,,,,Dictyocaulus viviparus larvae (lungworm) - faeces (50g) or lung examination,,Baermann technique,5,41.10,41.10,41.10,,Lungworm Larvae - faeces exam,Faeces Examn - Lungworm Larvae,Cattle,Parasitology,TRUE,TRUE,TRUE,FALSE,,,Yes,PA.008,Dictyocaulus viviparus larvae (lungworm),,Faeces,50g,
TC0080,,,,Ringworm culture,,Culture,28,85.60,85.60,85.60,,Ringworm culture,Ringworm culture,Mammals,Dermatology,TRUE,TRUE,TRUE,FALSE,,,No,,Parasitology,,Plucked hair tuft with roots,1,
TC0081,,,,Ectoparasites - microscopic examination,,Microscopy,3,28.70,28.70,28.70,,Ectoparasites-microscopic exam,Ectoparasites - microscopic examination,All,"Dermatology, Parasitology",TRUE,TRUE,TRUE,FALSE,,,Yes,PA.005,Ectoparasites,,Skin or hair sample,,
TC0082,,,,Electron microscopy: Mammalian negative stain examination (eg parapox & herpes),,EM,15,60.40,60.40,60.40,,EM - Mammalian negative stain,EM: Mammalian negative stain examination,,"Dermatology, Other Species Virology, Bacteriology & Parasitology",TRUE,TRUE,TRUE,FALSE,,,No,,,,,,
TC0084,,,,"Isolation of background ampC, ESBL Enterobacteriaceae from faeces or caecal contents according to EU protocols",,Culture,7,38.00,38.00,38.00,,"Isoln ampC,ESBL faeces/caecal","Isolation of background ampC, ESBL Enterobacteriaceae from faeces or caecal contents, EU protocol",All,"Feed & Meat Tests, Microbiology, Miscellaneous Tests",TRUE,TRUE,TRUE,FALSE,,,No,,,Samples must be sent chilled in suitable biobottles,Faeces or caecal content,2g,
TC0085,,,,"Isolation of background ampC, ESBL Enterobacteriaceae from meat samples according to EU protocols",,Culture,7,31.50,31.50,31.50,,Isoln ampC ESBL meat,"Isolation of background ampC, ESBL Enterobacteriaceae from meat, EU protocol",All,"Feed & Meat Tests, Microbiology, Miscellaneous Tests",TRUE,TRUE,TRUE,FALSE,,,No,,,,Meat,Minimum 30g,
TC0086,,,,Isolation of carbapenem resistant Enterobacteriaceae from faeces or caecal contents according to EU protocols,,Culture,7,40.10,40.10,40.10,,Carba-res Enterobac fae/cae,"Isolation of carbapenem resistant Enterobacteriaceae from faeces or caecal contents, EU protocol",All,"Feed & Meat Tests, Microbiology, Miscellaneous Tests",TRUE,TRUE,TRUE,FALSE,,,No,,,,Faeces or caecal content,2g,
TC0087,,,,Isolation of carbapenem resistant Enterobacteriaceae from meat samples according to EU protocols,,Culture,7,33.20,33.20,33.20,,Carba-res Enterobac meat,Isolation of carbapenem resistant Enterobacteriaceae from meat samples according to EU protocols,All,"Feed & Meat Tests, Microbiology, Miscellaneous Tests",TRUE,TRUE,TRUE,FALSE,,,No,,,,Meat,Minimum 30g,
TC0088,,,,Storage of bacterial culture on beads and Dorset eggs for a minimum of 5 years,,Bacteriology,7,43.70,43.70,43.70,,"Storage on beads/eggs, min 5y",Storage of bacterial culture on beads and Dorset eggs for a minimum of 5 years,All,"Microbiology, Miscellaneous Tests",TRUE,TRUE,TRUE,FALSE,,,No,,,,Pure culture if bacteria on agar plates,,
TC0101,,,,Primary bacterial culture and presumptive identification,,Culture,7,20.00,20.00,20.00,,Primary bacti cult&presump ID,Primary bacterial culture and presumptive identification,All,Microbiology,TRUE,TRUE,TRUE,FALSE,,,Yes,"BA.399, BA.564. See BA.564 for guidance on when to use TC0101, TC0102 and TC0103.",,,Tissue / Swab,1,
TC0102,,,,Secondary identification of aerobic bacterial isolates to species level using biochemical and serological methods (further molecular and sub-typing methods not included),,Culture & ID to sp level,7,62.60,62.60,62.60,,Secondary bacti ID to sp level,Secondary ID of aerobic bacterial isolates to species level using biochemical & serological methods,All,Microbiology,TRUE,TRUE,TRUE,FALSE,,,Yes,"BA.399, BA.564. See BA.564 for guidance on when to use TC0101, TC0102 and TC0103.",,,Bacterial isolate,1,
TC0103,,,,Primary isolation of Glaesserella (Haemophilus) parasuis (Ghps) from suspect cases in pigs,,Culture,7,22.00,22.00,22.00,,Glaesserella culture (Ghps),Primary isolation of Glaesserella (Haemophilus) parasuis (Hps) from suspect cases in pigs,Pig,Microbiology,TRUE,TRUE,TRUE,FALSE,,,Yes,"BA.399, BA.564. See BA.564 for guidance on when to use TC0101, TC0102 and TC0103.",Haemophilus parasuis (Glassers),"If culture is not immediate (i.e. samples to be posted), transport swabs should be used - preferably swabs (Sterilin Amies with charcoal swabs, NCCLS M40-A compliant).",Swabs or tissue from lesioned sites,Swabs or tissue from lesioned sites,TC0103
TC0104,,,,Confirmatory(MRSA) PCR on suspected MRSA isolates,,PCR,5,198.80,47.60,32.00,,Confirmatory MRSA PCR,Confirmatory(MRSA) PCR on suspected MRSA isolates,All,Microbiology,TRUE,TRUE,TRUE,FALSE,,,No,,Antimicrobial resistance,,Charcoal Swab,,TC0104
TC0105A,,,,"PME; neonatal calves (under 1 week), excluding disposal (TC1615)",,PME,,60.50,60.50,60.50,,PM neonatal calf,"PME; neonatal calves (under 1 week), excluding disposal (TC1615)",Cattle,Post Mortem Examinations,TRUE,TRUE,TRUE,FALSE,,,Yes,,,,"Fetus, placenta, calf",1,
TC0105B,,,,"PME; neonatal calves (under 1 week), excluding disposal (TC1615) - up to 3",,PME,,84.10,84.10,84.10,,PM neonatal calves,"PME; neonatal calves (under 1 week), excluding disposal (TC1615) - up to 3",Cattle,Post Mortem Examinations,TRUE,TRUE,TRUE,FALSE,,,Yes,,,,"Whole calf, fetus, placenta",1,
TC0113,,,,Sheep Foot Rot Dichelobacter PCR,,PCR,12,60.50,60.50,60.50,,Foot Rot Dichelobacter PCR,Sheep Foot Rot Dichelobacter PCR,Sheep,Other Sheep / Goat Tests,TRUE,TRUE,TRUE,FALSE,,,No,,Dichelobacter,,Plain swab or scab,,
TC0117,,,,Campylobacter culture - vaginal mucus or sheath washings,,Culture,14,47.20,47.20,47.20,,Campylobacter Cult -VM/SW,Campylobacter culture - vaginal mucus or sheath washings,Cattle,"Microbiology, Other Cattle Tests",TRUE,TRUE,TRUE,FALSE,,,Yes,,,,Vaginal mucus or sheath washings,Approx 30ml sheath washing - as instructed in sampling kit RAI 0800,
TC0118,,,,Porcine Reproductive & Respiratory Syndrome Virus sequencing assay - individual serum or tissue samples,,PCR / sequencing,28,165.60,165.60,165.60,,PRRSv PCR/sequencing single,Porcine Reproductive & Respiratory Syndrome Virus sequencing assay - individual serum or tissue samp,Pig,Other Pig Tests,TRUE,TRUE,TRUE,FALSE,,,No,,PRRS virus,,Serum or tissue provided for TC0718 or TC0918,As provided for TC0718 or TC0918,"TC0118, TC0267, TC0268"
TC0123,,,,Bovine viral diarrhoea antibodies in bulk milk,,ELISA,7,7.40,7.40,7.40,,BVD Ab ELISA in bulk milk,ELISA for BVD antibody in bulk milk,Cattle,"Cattle Serology, Milk Antibody Tests",TRUE,TRUE,TRUE,FALSE,,,Yes,SE.234,Bovine viral diarrhoea,,Milk,Minimum of 10ml,
TC0124,,,,Infectious bovine rhinotracheitis (BoHV-1) antibodies in bulk milk,,ELISA,7,7.40,7.40,7.40,,IBR in bulk milk Ab ELISA,ELISA for IBR antibody in bulk milk,Cattle,"Cattle Serology, Milk Antibody Tests",TRUE,TRUE,TRUE,FALSE,,,No,VI.052,Infectious bovine rhinotracheitis,,Milk,2 mL,TC0124
TC0125,,,,Leptospira hardjo antibodies in bulk milk,,ELISA,7,7.40,7.40,7.40,,L hardjo in bulk milk Ab ELISA,ELISA for Leptospira hardjo antibody in bulk milk,Cattle,"Cattle Serology, Milk Antibody Tests",TRUE,TRUE,TRUE,FALSE,,,No,BA.165,Leptospirosis,,Milk,Minimum of 10ml,
TC0159,,,,Rabbit RHD virus PCR,,PCR,5,119.00,119.00,119.00,,Rabbit RHDV Test,Rabbit haemorrhagic disease virus Test,Rabbit,"Other Species Virology, Bacteriology & Parasitology",TRUE,TRUE,TRUE,FALSE,,,No,,Rabbit haemorrhagic disease,,Liver,5 grams (approx),
TC0160,,,,"Swine influenza - 4 strains: avian-like H1N1[195852], H1N2, H3N2, pandemic H1N1",,HAIT Package,12,32.80,32.80,32.80,,SwineInfluenza(4strains) HAIT,"HAIT package for Swine influenza - 4 strains: avian-like H1N1[195852], H1N2, H3N2, pandemic H1N1",Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,"SE.080, VIR0206",Swine influenza,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0175,,,,Neospora caninum antibodies in bovine sera,,ELISA,7,7.40,7.40,7.40,,Neospora caninum ELISA,ELISA for Neospora caninum antibodies in bovine sera,Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,No,,Neospora caninum (bovine or porcine),,Serum,1ml serum or 2ml clotted blood,TC0175
TC0176,,,,Coronavirus antibodies - Bovine,,ELISA,7,16.30,16.30,16.30,,Bovine coronavirus Ab ELISA,ELISA for antibodies to Bovine coronavirus,Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,No,,Bovine corona virus,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0177,,,,Feedstuffs - Microscopic analysis of animal feedstuffs,,Microscopy,5,86.60,86.60,86.60,,Feedstuffs (animal) microscopy,Microscopic Analysis of Animal Feedstuffs,All,Feed & Meat Tests,TRUE,TRUE,TRUE,FALSE,,,Yes,SE.067,,,Feedstuff,,TC0177
TC0182,,,,Dirofilaria immitis (Heartworm) - microfilaria concentration,,Micro Filtration Test,5,63.40,63.40,63.40,,Microfilaria concentration,Microfiltration test for microfilaria concentration - Dirofilaria immitis (Heartworm),"Cat, Cattle, Chicken, Deer, Dog",Miscellaneous Tests,TRUE,TRUE,TRUE,FALSE,,,Yes,PAR0081,Dirofilaria immitis (Heartworm),,EDTA blood,2 mL minimum,
TC0186,,,,Coronavirus antigen,,Ag ELISA,7,10.80,10.80,10.80,,Coronavirus Antigen ELISA,ELISA for Coronavirus antigen,Cattle,Cattle Virology,TRUE,TRUE,TRUE,FALSE,,,No,,Bovine corona virus,,Faeces,,
TC0215,,,,Trichomonas culture & microscopy (vaginal mucus & sheath washings),,Culture & microscopy,9,61.80,61.80,61.80,,Trich V/M&S/W Cult &Microscopy,V/Mucus & S/Washings Trichomonas Culture & Microscopy,Cattle,"Other Cattle Tests, Parasitology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.261,Trichomonas,,"Vaginal mucus, Sheath washings",Approx 30ml sheath washings - as instructed in sampling kit RAI 0800,
TC0217,,,,Campylobacter identification,,ID,14,67.30,67.30,67.30,,Campylobacter Cult - biotyping,Campylobacter culture - speciation by biotyping,All,Microbiology,TRUE,TRUE,TRUE,FALSE,,,Yes,BAC0089,Campylobacter,,Culture,,
TC0218,,,,Campylobacter,,FAT,5,44.70,44.70,28.00,,Campylobacter FAT,FAT for Campylobacter,Cattle,Microbiology,TRUE,TRUE,TRUE,FALSE,,,Yes,BA.007,Campylobacter,,Sheath washings,Approx 30ml sheath washing - as instructed in sampling kit RAI 0800,
TC0233,,,,Real-time PCR assay for detection of duck enteritis virus,,PCR,5,38.50,38.50,34.00,,RTPCR Duck Viral Enteritis,Real-time PCR asay for detection of duck enteritis virus,Duck,Avian Virology,TRUE,TRUE,TRUE,FALSE,,,No,,Duck viral enteritis,,"Tissue homogenate (0.14ml) , cloacal swab eluates (0.14ml), Amplified virus (0.14ml)",,
TC0234,,,,Real-time reverse transcription PCR (RRT-PCR) assay for detection of duck hepatitis virus type 1,,PCR,5,38.50,38.50,34.00,,RT-PCR Duck HepatitisType 1,"Duck hepatitis virus type 1 in cloacal swabs, FTA cards, tissue suspensions and tissue culture-ampli","Duck, Goose",Avian Virology,TRUE,TRUE,TRUE,FALSE,,,No,,Duck viral hepatitis,,"Tissue homogenate (0.14ml), Cloacal swab",,
TC0235,,,,Real-time PCR assay for detection of goose parvovirus,,PCR,5,38.50,38.50,34.00,,RT-PCR Goose Parvovirus,"Goose parvovirus in cloacal swabs, tissue suspensions and tissue culture-amplified samples.","Duck, Goose",Avian Virology,TRUE,TRUE,TRUE,FALSE,,,No,,Goose parvovirus,,"Tissue homogenate (0.14ml), Cloacal swab",,
TC0244,,,,Q Fever in Bovine/Cervine Semen RT-PCR,,PCR,7,63.20,63.20,63.20,,Q Fever in Semen RT-PCR,Q Fever in Semen RT-PCR,"Cattle, Deer","Miscellaneous Tests, Other Cattle Tests",TRUE,TRUE,TRUE,FALSE,,,No,,Coxiella burnetii (Q fever),Submit samples in liquid nitrogen or dry ice,Semen,1ml,
TC0256,,,,Haematology - Parasitological examination of a blood smear for the detection of the presence of piroplasmosis,,Microscopy,7,27.50,27.50,27.50,,Parasitolog'l exam-blood smear,Parasitological examination of a blood smear,All,"Other Equine Tests, Other Species Virology, Bacteriology & Parasitology, Parasitology",TRUE,TRUE,TRUE,FALSE,,,No,"For Babesia gibsonii for export, use TC0826 (which is accredited).",,,EDTA blood or blood smear,At least 2ml whole blood,
TC0267,,,,Porcine Reproductive & Respiratory Syndrome Virus sequencing assay - batch of up to 14 sera,,PCR / sequencing,70,1251.80,1251.80,1251.80,,PRRSv PCR/sequencing serabatch,Porcine Reproductive & Respiratory Syndrome Virus sequencing assay - batch of up to 14 sera,Pig,Other Pig Tests,TRUE,TRUE,TRUE,FALSE,,,No,,PRRS virus,,Serum provided for TC0718,As provided for TC0718,"TC0118, TC0267, TC0268"
TC0268,,,,Porcine Reproductive & Respiratory Syndrome Virus sequencing assay - batch of up to 14 tissue samples,,PCR / sequencing,70,1564.90,1564.90,1564.90,,PRRSv PCR/sequencing tissbatch,Porcine Reproductive & Respiratory Syndrome Virus sequencing assay - batch of up to 14 tissue sample,Pig,Other Pig Tests,TRUE,TRUE,TRUE,FALSE,,,No,,PRRS virus,,Tissue provided for TC0718,As provided for TC0718,"TC0118, TC0267, TC0268"
TC0277,,,,Besnoitia antibody detection by ID VET kit ELISA,,ELISA,7,7.00,7.00,7.00,,Besnoitia ID ELISA,Besnoitia antibody detection by ID VET kit ELISA,Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,No,,Besnoitia,,Serum or clotted blood,1ml serum or 2ml clotted blood,
TC0281,,,,Aujeszky's disease virus in pig tissues.,,PCR (real time),2,60.00,60.00,60.00,,Aujesky's RT PCR,Aujeszky's disease virus in pig tissues.,Pig,Pig Virology,TRUE,TRUE,TRUE,FALSE,,,No,,Aujeszky's disease,Samples should be submitted through VENDU and a VIO using the EXD36 submission form.,"A bijou size quantity of lymph node, tonsil, brain or lung.",Bijou size,
TC0282,,,,Eurasian H5 Avian Influenza virus reverse transcriptase Real Time (RRT)-PCR using pooled oropharyngeal or cloacal swabs,,RT PCR (real time),5,35.70,35.70,35.70,,Pooled H5 AI RNA virus RRT PCR,Eurasian H5 Avian Influenza virus in pooled oropharyngeal or cloacal swab samples,Birds,Avian Virology,TRUE,TRUE,TRUE,FALSE,,,Yes,,,This test will not apply to the testing of samples submitted under the notifiable avian disease testing to exclude scheme.,Oropharyngeal and/or cloacal swabs,Up to 5,
TC0283,,,,Eurasian H7 Avian Influenza Virus Reverse Transcriptase Real Time (RRT)-PCR using pooled oropharyngeal or cloacal swabs,,RT PCR (real time),5,35.70,35.70,35.70,,Pooled H7 AI RT PCR,Eurasian H7 AI virus in pooled oropharygeal or cloacal swab samples from a single species,Birds,Avian Virology,TRUE,TRUE,TRUE,FALSE,,,Yes,,,This test will not apply to the testing of samples submitted under the notifiable avian disease testing to exclude scheme.,Oropharyngeal and/or cloacal swabs,Up to 5,
TC0284,,,,Newcastle disease virus PCR using pooled oropharyngeal or cloacal swabs,,RT PCR (real time),5,35.70,35.70,35.70,,NCD Virus Pooled RT PCR,Newcastle disease virus in pooled oropharyngeal or cloacal swab samples (up to 5 from either site),Birds,Avian Virology,TRUE,TRUE,TRUE,FALSE,,,Yes,,,This test will not apply to the testing of samples submitted under the notifiable avian disease testing to exclude scheme.,Oropharyngeal and/or cloacal swabs,Up to 5,
TC0285,,,,Avian Influenza Virus PCR using pooled oropharyngeal or cloacal swabs,,RT PCR (real time),5,35.70,35.70,35.70,,Pooled AI A virus R/time PCR,Pooled Real time PCR for Avian influenza - screening test for matrix gene of all influenza A virus,Birds,Avian Virology,TRUE,TRUE,TRUE,FALSE,,,Yes,,,Pooled Real time PCR for Avian influenza - screening test for matrix gene of all influenza A virus,Oropharyngeal and cloacal swabs,Up to 5 swabs,
TC0287,,,,Taylorella equigenitalis (CEMO) & T. asinigenitalis: pooled test (up to 4 samples),,PCR (real time),5,76.30,76.30,76.30,,T equi & T asini PCR pool,Taylorella equigenitalis (CEMO) & T. asinigenitalis: pooled test (up to 4 samples),Horse,"Microbiology, Other Equine Tests",TRUE,TRUE,TRUE,FALSE,,,Yes,For Taylorella equigenitalis only,Taylorella equigenitalis (CEMO) & T.asinigenitalis,,Genital swabs,,
TC0288,,,,BVD virus detection in bovine semen using Taqman RT-PCR,,PCR,7,50.30,50.30,50.30,,BVD in Semen RT-PCR,BVD in Semen RT-PCR,Cattle,Cattle Virology,TRUE,TRUE,TRUE,FALSE,,,No,,Bovine viral diarrhoea,Submit in Liquid Nitrogen or Dry Ice,Semen,1ml,
TC0292,,,,Border disease antibody,,ELISA,10,16.60,16.60,16.60,,Border Disease Antibody ELISA,ELISA for Border disease antibody,"Goat, Sheep",Sheep / Goat Serology,TRUE,TRUE,TRUE,FALSE,,,No,,Border disease,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0294,,,,Brucella (abortus/melitensis/suis),,SAT,7,12.80,12.80,10.40,,Br abortus melitensis/suis SAT,SAT for Brucella abortus/melitensis/suis,"Cattle, Goat, Pig, Sheep","Cattle Serology, Pig Serology, Sheep / Goat Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.265,Brucella,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0295,,,,Brucella (abortus/melitensis/suis),,CFT,7,13.30,13.30,11.00,,Br abortus melitensis/suis CFT,CFT for Brucella abortus/melitensis/suis,"Cattle, Goat, Pig, Sheep","Cattle Serology, Pig Serology, Sheep / Goat Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.266,Brucella,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0300,,,,Chlamydia abortus,,CFT,10,23.90,23.90,23.90,,Chlamydia Abortus-mamm/av CFT,CFT for Chlamydia abortus,"Birds, Goat, Sheep",Avian Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,SE.010,Chlamydophila abortus (EAE),,Serum,0.5ml clotted blood,
TC0302,,,,Goose parvovirus,,AGIDT,5,10.10,10.10,9.50,,Goose parvovirus AGIDT,AGIDT for Goose parvovirus,Goose,Avian Serology,TRUE,TRUE,TRUE,FALSE,,,No,,Goose parvovirus,,Serum,,
TC0306,,,,Mycoplasma gallisepticum,,RSA,5,8.80,8.80,6.90,,Mycoplasma gallisepticum RSA,RSA for M. gallisepticum,Birds,Avian Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,SE.075,Mycoplasma,,Serum,0.5ml clotted blood,
TC0307,,,,Mycoplasma meleagridis,,RSA,5,8.80,8.80,6.90,,Mycoplasma meleagridis RSA,RSA for M. meleagridis,Birds,Avian Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,SE.075,Mycoplasma,,Serum,0.5ml clotted blood,
TC0308,,,,Mycoplasma synoviae,,RSA,5,8.80,8.80,6.90,,Mycoplasma synoviae RSA,RSA for M. synoviae,Birds,Avian Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,SE.075,Mycoplasma,,Serum,0.5ml clotted blood,TC0308
TC0310,,,,Salmonella - full serotyping,,Serotyping,12,51.90,51.90,51.90,,Salmonella - full serotyping,Serotyping of Salmonella,All,Microbiology,TRUE,TRUE,TRUE,FALSE,,,Yes,"BA.079 (for group level), CBU001, CBU005, CBU0043, CBU0044, CBU045, CBU075",Salmonella,,Pure Salmonella Culture,1 culture per test,
TC0311,,,,Porcine HEV,,SNT,12,69.60,69.60,69.60,,Porcine HEV SNT,SNT for Porcine HEV,Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VI.087,Porcine HEV,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0312,,,,Infectious bovine rhinotracheitis,,SNT (24hr),12,66.80,66.80,66.80,,IBR SNT (24hr),SNT (24hr) for IBR,Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VI.085,Infectious bovine rhinotracheitis,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0313,,,,Enzootic bovine leukosis,,AGIDT,7,20.80,20.80,14.60,,Enzootic bovine leukosis AGIDT,AGIDT for EBL,Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VI.119,Enzootic bovine leukosis,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0314,,,,Enzootic bovine leukosis,,ELISA,7,19.40,19.40,14.60,,Enzootic bovine leukosis ELISA,ELISA for Enzootic Bovine Leukosis (single blood samples),Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,SE.003,Enzootic bovine leukosis,,Serum,Minimum of 2ml clotted blood or 1ml serum,TC0314
TC0317,,,,Electron microscopy: Avian negative stain examination (including cell culture & sample preparation),,EM,10,104.30,104.30,104.30,,EM - Avian negative stain,EM: Avian negative stain examination,Birds,Avian Virology,TRUE,TRUE,TRUE,FALSE,,,No,,,,,,
TC0318,,,,Swine influenza,,VI in eggs,20,122.40,122.40,122.40,,Swine influenza Vir isol-eggs,Virus isolation for Swine influenza in eggs,Pig,Pig Virology,TRUE,TRUE,TRUE,FALSE,,,Yes,,Swine influenza,,"Respiratory tract tissue and homogenates, nasal swabs",,
TC0322,,,,Salmonella abortus ovis,,SAT,7,24.80,24.80,24.80,,Salmonella abortus ovis SAT,SAT for S.abortus ovis,"Goat, Sheep",Sheep / Goat Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,SE.068,Salmonella,,Serum,Minimum of 2ml clotted blood or 1ml serum,
